evaluation,hypervolume
0,0.263602579772
2,0.268993191422
4,0.270182316293
5,0.275968204158
8,0.276206242669
20,0.279998929397
38,0.28004963472
47,0.280050692821
50,0.280054541206
65,0.282375254803
69,0.285201307206
74,0.285217513425
78,0.285220858273
82,0.285258332187
86,0.285957597033
91,0.286053311937
95,0.286072735089
108,0.286106760145
130,0.289211332367
132,0.289233482562
133,0.295116507616
136,0.295119911247
148,0.296574388083
166,0.29662266559
175,0.296623723691
178,0.296627572076
193,0.297796060756
197,0.300320361418
206,0.300334735267
210,0.300357022966
214,0.301079502803
219,0.301110529234
241,0.301131593561
258,0.301161938509
260,0.301176321946
261,0.302853840757
264,0.302993094561
275,0.306842547083
276,0.30993064905
294,0.309951074328
295,0.309959915357
325,0.312507925362
342,0.312511815679
347,0.312547932909
369,0.312573510017
386,0.312665050658
388,0.312691153787
389,0.315639785615
391,0.315643502346
393,0.315667384755
403,0.322004189421
404,0.322256302477
414,0.325941689729
422,0.326692406845
423,0.326701291337
453,0.328300663421
475,0.328305406449
504,0.32831822718
514,0.32834677258
516,0.328367753603
519,0.328368202339
531,0.333585490341
532,0.333591863585
542,0.333852630303
550,0.340065895658
551,0.340090000724
642,0.342413435735
644,0.345325376191
645,0.348065470508
647,0.348069594241
660,0.348195828202
674,0.348324356153
678,0.352684950359
679,0.352740211391
690,0.352747364655
704,0.352773887693
740,0.352774064637
770,0.355049114517
773,0.356587730698
775,0.358370602956
798,0.358382450348
806,0.358484738459
807,0.358562055194
815,0.358565389083
818,0.358576054124
860,0.358897343669
868,0.35889778665
898,0.36025291872
901,0.361808203149
903,0.363610320708
908,0.364530461837
922,0.364531718378
926,0.364532197526
930,0.364630451959
934,0.366839380165
943,0.366846373469
1026,0.3687795391
1029,0.369762016732
1031,0.372246975664
1036,0.373528644261
1044,0.373541995522
1062,0.37778631336
1071,0.377811449873
1135,0.377813148546
1157,0.377822983565
1159,0.3779302794
1164,0.377952073683
1184,0.378268687682
1190,0.383239199323
1257,0.383241109838
