evaluation,generation,hypervolume
0,0,0.246354632135
1,0,0.272864442595
2,0,0.278397272167
4,0,0.278752603583
5,0,0.284661503744
6,0,0.284783435174
10,0,0.285596150956
13,0,0.287407764077
15,0,0.287434651541
17,0,0.290214325446
19,0,0.302608931498
24,0,0.302821562424
31,0,0.302922394706
46,0,0.303079725627
47,0,0.303096504713
48,0,0.303346844744
50,0,0.306330813796
51,0,0.306688835796
64,1,0.306817077112
72,2,0.313028818372
73,2,0.31303618675
76,2,0.31812059289
95,4,0.318121923235
115,6,0.318124223522
138,8,0.318187577361
145,9,0.318188382379
146,9,0.318484827832
158,10,0.318555169859
191,14,0.318555864471
261,21,0.318588061096
263,21,0.318602520355
275,22,0.318781524075
284,23,0.318805395773
319,26,0.318828965484
341,29,0.318829354293
377,32,0.321574058926
386,33,0.321702764853
440,39,0.32176882382
462,41,0.325320386955
564,51,0.325367799248
565,51,0.325368769299
577,52,0.32577808204
632,58,0.325780955807
633,58,0.325925558689
651,60,0.32986779573
717,66,0.329954793687
754,70,0.330041762947
780,73,0.330073050561
901,85,0.330103293181
992,94,0.330213156891
1000,95,0.330248438788
1074,102,0.330262999201
1129,107,0.330479432755
1219,116,0.330513621815
1258,120,0.33065889385
1322,127,0.330661464709
1390,134,0.330664391093
1558,150,0.330667683719
1613,156,0.332478616533
1653,160,0.332480438664
1757,170,0.33251675217
2042,199,0.332528205511
2071,202,0.332549141173
2119,206,0.332645903911
2148,209,0.332752188323
2444,239,0.332786510827
2478,242,0.33278682769
2484,243,0.332943004009
3153,310,0.333089027841
3399,334,0.333096025136
3516,346,0.333119574731
4096,404,0.33313393286
4245,419,0.333143932008
4254,420,0.333148171497
4472,442,0.333256785306
5069,501,0.333320943529
5507,545,0.333323668052
5814,576,0.336134857089
6658,660,0.336139176411
6727,667,0.336208392179
6873,682,0.336212915588
7123,707,0.336212998957
7148,709,0.336261163331
7345,729,0.33629244976
7410,736,0.338877881554
7671,762,0.33887840325
7885,783,0.338910555684
8589,853,0.338965361537
8632,858,0.338979406032
8802,875,0.341457652174
8899,884,0.341484130437
9233,918,0.341598694225
9297,924,0.341609973303
10395,1034,0.344883358627
11207,1115,0.344983945863
12545,1249,0.34509418428
12670,1262,0.345180582991
12706,1265,0.345185650763
13641,1359,0.345189919722
14314,1426,0.345198084328
14703,1465,0.345209181393
16021,1597,0.345276826452
16162,1611,0.345301811221
16722,1667,0.345301893689
17521,1747,0.345360930095
17781,1773,0.345465624512
18113,1806,0.345466292443
21184,2113,0.345475738589
21966,2191,0.34549595098
22169,2211,0.345707108272
22593,2254,0.347025121229
23004,2295,0.347048020414
24199,2414,0.347052343236
24589,2453,0.347055363236
25087,2503,0.34707901612
25126,2507,0.347094605491
25540,2549,0.347228279424
27126,2707,0.347242237608
29004,2895,0.34724245801
30172,3012,0.347292142966
30324,3027,0.347297853559
32194,3214,0.347303172604
33471,3342,0.347357285119
34556,3450,0.347362373231
35213,3516,0.347410693869
40403,4035,0.347422611249
40547,4049,0.348238514818
41164,4111,0.34823980941
42854,4280,0.349273221869
44839,4478,0.349274937841
45072,4502,0.349288981877
45917,4586,0.349308003267
47732,4768,0.34930880594
52000,5195,0.349317133638
54124,5407,0.349319231291
54887,5483,0.349405300634
55291,5524,0.349409373809
55972,5592,0.349414909223
56871,5682,0.349418742575
58500,5845,0.349422007751
58563,5851,0.349427131143
59366,5931,0.349437175853
60248,6019,0.349441565583
62151,6210,0.349444043453
65267,6521,0.349462108826
67023,6697,0.349542892644
69913,6986,0.349548588462
70570,7052,0.349549425299
70621,7057,0.349689979094
70821,7077,0.352868267209
73554,7350,0.352889473003
76842,7679,0.35299267543
78881,7883,0.35299965447
79033,7898,0.35306102266
81101,8105,0.353076246851
81575,8152,0.353149909581
83301,8325,0.353154801126
85080,8503,0.353220584819
85297,8524,0.353223668256
88198,8814,0.353224841013
92980,9293,0.357691158077
93163,9311,0.357808353196
98556,9850,0.357817018902
100000,9995,0.357817018902
