evaluation,generation,hypervolume
0,0,0.0361414329098
1,0,0.0377866139615
4,0,0.0396062370846
5,0,0.0396073819688
6,0,0.0507188830017
13,0,0.0518669101979
16,0,0.0523618586621
30,0,0.0523664447839
36,0,0.0536584512111
55,0,0.0543678500574
58,0,0.0551880194318
59,0,0.0552605613089
65,1,0.0559499214319
69,1,0.0559499316593
73,2,0.0559717434884
80,3,0.0561651150943
81,3,0.0564996395088
87,3,0.0564998160723
99,4,0.0565120680424
106,5,0.0566079027253
121,7,0.0566099103252
140,9,0.0572208113457
155,10,0.0593339849533
164,11,0.0593344949288
182,13,0.0593345430805
190,14,0.0593349059286
195,14,0.0593380211291
216,16,0.0594791813758
234,18,0.0594791829465
268,21,0.059479182952
271,22,0.0594791873025
272,22,0.0594890063237
273,22,0.0594890110724
277,22,0.0595149707317
304,25,0.0596239064135
326,27,0.0604912694089
329,27,0.0613341170729
347,29,0.0613454560085
348,29,0.0613541802899
367,31,0.0638129915625
374,32,0.0638848211639
375,32,0.0638848338664
389,33,0.0638849739975
396,34,0.0638932612821
440,39,0.06389850353
470,42,0.0650255667912
581,53,0.0650255667919
630,58,0.0650282720773
667,61,0.0650283635864
672,62,0.065028371694
686,63,0.0650283775318
696,64,0.0650298067973
749,69,0.065029830266
779,72,0.0650631799111
796,74,0.065063194308
810,76,0.0650640083012
834,78,0.0652850436504
884,83,0.0652945093988
930,88,0.0652945699783
993,94,0.0653211019216
996,94,0.0654559380942
1026,97,0.0654585534169
1050,100,0.0654585554845
1062,101,0.0654618619236
1066,101,0.0654740463506
1075,102,0.0654766192657
1082,103,0.0654767226855
1189,113,0.0656284938247
1194,114,0.065628524303
1210,116,0.0656615838471
1224,117,0.065665656219
1232,118,0.0656736421241
1244,119,0.065777983832
1245,119,0.06577950032
1340,129,0.0657804494671
1355,130,0.0657813975961
1405,135,0.065822345549
1463,141,0.0658238687635
1485,143,0.0658321742251
1502,145,0.0659555754551
1525,147,0.0659574015867
1585,153,0.0659694737754
1650,160,0.0659748954675
1655,160,0.0659749080732
1672,162,0.0660186613755
1685,163,0.0660186786713
1718,166,0.0660200210525
1781,173,0.066053546908
1790,174,0.0660541306341
1807,175,0.0660541315493
1824,177,0.0700579705146
1835,178,0.0700579914517
1868,181,0.0700584072155
1885,183,0.0700584072994
1943,189,0.070083848889
1944,189,0.0701144231593
1977,192,0.070184595407
2002,195,0.0701872144246
2108,205,0.0702270065445
2118,206,0.0708197866243
2185,213,0.0708197868135
2238,218,0.0708197868156
2274,222,0.0708214216419
2385,233,0.0708281231535
2401,235,0.0708335211825
2430,238,0.0708337365498
2446,239,0.0708406295542
2586,253,0.070840634466
2831,278,0.0720152980382
2950,290,0.0720157456966
3002,295,0.0720158289693
3068,301,0.0720162012403
3084,303,0.0720195007234
3129,307,0.0720207654417
3134,308,0.0720322605667
3185,313,0.0720325659264
3201,315,0.0720326990542
3220,317,0.0720589199608
3274,322,0.0720589200531
3292,324,0.0720589217205
3307,325,0.0720613809716
3355,330,0.0720669473436
3377,332,0.0720789509962
3419,336,0.0720792479811
3601,355,0.0723114367421
3603,355,0.0723114434343
3691,364,0.072311527676
3874,382,0.0723121811543
3888,383,0.0723121847306
3920,387,0.072312184887
3950,390,0.0723229976754
3963,391,0.0723298818679
4148,409,0.0723388662222
4214,416,0.0723709571235
4221,417,0.072375448774
4280,423,0.0723824689089
4459,440,0.0724452686639
4627,457,0.0724452772911
4701,465,0.0724452946634
4885,483,0.0724453004822
5132,508,0.0724453005548
5180,513,0.0724500219991
5224,517,0.0724628581609
5331,528,0.0724628654059
5395,534,0.0724629822861
5436,538,0.0724916585598
5537,548,0.072491999747
5551,550,0.0724944421235
5555,550,0.0724944764316
5704,565,0.07249641311
5715,566,0.0724996822709
5855,580,0.0730261402455
5881,583,0.0730465937735
5907,585,0.0730519839111
5917,586,0.0730523302769
5997,594,0.0730524144395
6021,597,0.0730524144756
6037,598,0.0730524162185
6147,609,0.0730526084815
6285,623,0.0730526641599
6416,636,0.0730526780251
6516,646,0.073057811846
6613,656,0.0730578207315
6740,669,0.0730578907048
6772,672,0.0730578972273
6973,692,0.0730586728373
7187,713,0.0730588857061
7241,719,0.0730588857061
7339,728,0.0730589731236
7432,738,0.0730589731237
7435,738,0.0730595622437
7526,747,0.073059576272
7530,748,0.0730702516624
7552,750,0.0730789050092
7564,751,0.0730789176548
7745,769,0.073079254963
7791,774,0.0730792585115
7839,778,0.0730894202279
8051,800,0.0730895355852
8132,808,0.0730896902775
8178,812,0.0731107633849
8272,822,0.0731108144275
8321,827,0.0731108899347
8361,831,0.0731110106278
8432,838,0.0731111044146
8482,843,0.0731128854951
8584,853,0.073200768305
8608,855,0.0732009528128
8665,861,0.0732009528151
8745,869,0.0732010558439
8768,871,0.0732011960949
8781,873,0.0751294609045
8784,873,0.0751294691018
8816,876,0.0751313180035
9030,898,0.0751313180037
9327,927,0.0751313184817
9761,971,0.0751318989345
9770,972,0.0753826638192
9791,974,0.075383791684
9917,986,0.0753837922017
10008,995,0.0755120639568
10084,1003,0.0755239456521
10107,1005,0.0755239771396
10211,1016,0.0755239779945
10381,1033,0.0755245244149
10452,1040,0.0755285739273
10465,1041,0.0755285808188
10680,1063,0.0755624723098
10759,1070,0.0755746996767
10939,1088,0.0762374284473
10974,1092,0.076249492227
10976,1092,0.0762494924598
10988,1093,0.0762495267725
11006,1095,0.0762537526506
11100,1105,0.0762537535607
11116,1106,0.0765568466966
11298,1124,0.0765568466984
11316,1126,0.0765769483566
11353,1130,0.0765832919268
11403,1135,0.0765871692344
11525,1147,0.0765877849786
11663,1161,0.0765903370237
11779,1172,0.0765903482264
11790,1174,0.0765908623118
11908,1185,0.0765985834174
12131,1208,0.0765987915739
12133,1208,0.0765987918987
12629,1257,0.076599245952
12692,1264,0.0773538724302
12774,1272,0.0773539169994
12941,1289,0.077353917796
13071,1302,0.0773568126791
13170,1312,0.0773568161419
13228,1317,0.0773655775778
13339,1328,0.0773659300658
13835,1378,0.0775184013865
13845,1379,0.0775184033621
14066,1401,0.0778810298451
14069,1401,0.077881046171
14138,1408,0.077881065484
14243,1419,0.0778812526728
14375,1432,0.0778813016835
14461,1441,0.077882546926
14620,1457,0.0778825892756
14635,1458,0.0778849132901
14894,1484,0.0778894506996
15548,1549,0.0778970822394
15756,1570,0.0778972185938
15891,1584,0.0778973612368
16048,1599,0.0778996927813
16223,1617,0.0779002764089
16236,1618,0.0779002775189
16572,1652,0.0779028502002
16914,1686,0.077902850331
16950,1690,0.0779042817069
16962,1691,0.0784874177563
16977,1692,0.0784880429419
16993,1694,0.0784880457059
17039,1698,0.0784881604952
17137,1708,0.078488161712
17152,1710,0.0784881853728
17206,1715,0.0784899938986
17355,1730,0.0784956564474
17375,1732,0.0784963487809
17394,1734,0.0784963489851
17459,1740,0.0784963489857
17537,1748,0.0784963555737
17898,1784,0.0784988338593
17918,1786,0.0785002637131
17936,1788,0.0785007016394
18078,1802,0.0785009983455
18138,1808,0.0785010027205
18431,1838,0.0785010675653
18499,1844,0.078510336162
18520,1847,0.0785103949189
18547,1849,0.078515997827
18628,1857,0.0788126517986
18629,1857,0.0788133465216
18702,1865,0.0788133721704
18815,1876,0.078813372213
18967,1891,0.0788133755121
19168,1911,0.0788133755214
19313,1926,0.078823904544
19394,1934,0.0788239295846
19473,1942,0.0788239295849
19485,1943,0.0788239296887
19616,1956,0.0788284548435
20030,1998,0.0788345680285
20066,2001,0.078834568029
20130,2008,0.078834843289
20191,2014,0.0788360981487
20519,2046,0.078836098433
20832,2078,0.0788372346248
20948,2089,0.0788372375607
21036,2098,0.0788372376228
21100,2105,0.0788372793978
21428,2137,0.0788372979732
21471,2142,0.0788373342013
21656,2160,0.0788403143564
21677,2162,0.0788410689331
22235,2218,0.0788459983067
22340,2229,0.0788466405596
22381,2233,0.0788472481398
22666,2261,0.0788556243914
23388,2333,0.0788572856543
23875,2382,0.0788814400993
24135,2408,0.078890473142
24372,2432,0.0788904852444
24739,2468,0.0788905134241
24795,2474,0.0788905134904
24867,2481,0.0797767033319
25317,2526,0.0797767076165
25945,2589,0.0797860979807
26143,2609,0.0797861208789
26166,2611,0.0798230834
26272,2622,0.0798230836657
26592,2654,0.0798231110882
26692,2664,0.079823112739
26788,2673,0.0798231128986
26886,2683,0.0800729897236
27315,2726,0.0800732360146
27571,2752,0.0800892657115
27838,2778,0.0801316544656
27848,2779,0.0801318152491
28018,2796,0.0801318482324
28196,2814,0.0801318642552
28310,2826,0.0801318971438
28865,2881,0.0802563253279
