evaluation,generation,hypervolume
0,0,0.260961656069
1,0,0.266410934036
2,0,0.276379682776
3,0,0.28713918277
5,0,0.294780690937
7,0,0.295341961545
13,0,0.305253692901
16,0,0.305288501799
24,0,0.305467561585
29,0,0.305508031203
30,0,0.30562724884
35,0,0.309684283612
53,0,0.309701579203
55,0,0.309909021771
58,0,0.309982517459
80,3,0.310094323117
93,4,0.314182710272
129,7,0.314356632622
199,14,0.318328667653
210,16,0.318328671355
261,21,0.31841554545
265,21,0.318647790868
281,23,0.31868511218
301,25,0.318851029706
315,26,0.319029313531
349,29,0.319135875007
405,35,0.31978810331
411,36,0.330108079184
478,42,0.330294086543
543,49,0.330373175047
711,66,0.330376733114
713,66,0.330378475555
809,75,0.332951851008
821,77,0.333040323156
981,93,0.337302169759
1000,95,0.337346952222
1035,98,0.337384828328
1048,99,0.337527346469
1133,108,0.337550514003
1204,115,0.337589373327
1252,120,0.337613418179
1351,130,0.337614786946
1574,152,0.33773912354
1585,153,0.337751622142
1732,168,0.343714440905
2012,196,0.344407601175
2049,199,0.344413954944
2107,205,0.344429525364
2262,221,0.344430241753
2308,225,0.344447180449
2628,257,0.344553493277
2662,261,0.344599544588
3416,336,0.345201070191
3490,344,0.345211339098
3650,360,0.345257019298
3892,384,0.345280781321
4015,396,0.345295694131
4358,430,0.34629907271
4737,468,0.346299177042
4904,485,0.346299335461
4938,488,0.346308235651
5369,531,0.346933455565
5429,537,0.347662750819
5574,552,0.347716616365
6887,683,0.347940609407
7056,700,0.352053888466
8045,799,0.357376839232
8245,819,0.357380627412
8643,859,0.35739091021
8706,865,0.361939741805
9668,961,0.361941582694
12132,1208,0.361942032749
16571,1652,0.36509363096
17839,1778,0.365170702562
22364,2231,0.365224331079
24486,2443,0.365233344903
27572,2752,0.367959219265
30407,3035,0.376797631051
31443,3139,0.376837539424
33932,3388,0.377080372281
37099,3704,0.377122398267
42425,4237,0.37713676942
47603,4755,0.377211632801
49015,4896,0.377275288037
51795,5174,0.378443712985
57556,5750,0.378445848348
63410,6336,0.378460391758
64053,6400,0.378487786432
66692,6664,0.378497678533
82419,8236,0.378560838078
89106,8905,0.378590685972
89698,8964,0.378592091748
92540,9249,0.378593993548
93934,9388,0.378763604407
96361,9631,0.378783244528
100000,9995,0.378783244528
