evaluation,generation,hypervolume
0,0,0.20976319418
1,0,0.218102584891
2,0,0.241011372033
3,0,0.25783673657
4,0,0.281357208892
31,0,0.287793765755
63,1,0.290447352843
66,1,0.293572365312
72,2,0.295937831965
80,3,0.295966107214
81,3,0.297092515874
91,4,0.297094566124
95,4,0.306141190054
98,4,0.306273005915
136,8,0.307322132395
150,10,0.311565349172
155,10,0.311668553644
164,11,0.311673938097
170,12,0.312054581093
171,12,0.315846954214
208,15,0.315989937096
316,26,0.315991116361
373,32,0.316521152873
423,37,0.322737530291
425,37,0.324382116657
602,55,0.324382678388
770,72,0.324386204651
804,75,0.324389541548
953,90,0.331123897554
1042,99,0.331244950605
1048,99,0.331271489113
1120,107,0.331323230123
1220,117,0.335882765047
1417,136,0.337837278884
2661,261,0.338026070079
3034,298,0.338101065941
3297,324,0.338144220211
3401,335,0.338153709011
3888,383,0.341191917195
4575,452,0.345389767998
4616,456,0.345442642652
5779,572,0.35415073144
6031,598,0.354177431114
6712,666,0.35417961512
6910,686,0.354181324108
7225,717,0.354194451938
7455,740,0.354252586591
8369,831,0.354591023978
8883,883,0.354686394659
13016,1296,0.354698589972
13543,1349,0.35470858975
15002,1495,0.354907046932
15683,1563,0.354909340797
16101,1605,0.357096222231
21513,2146,0.35712937857
27855,2780,0.357180979024
29791,2974,0.357342357391
32396,3234,0.359477593342
43677,4362,0.359509280811
51271,5122,0.359510781028
51999,5194,0.360613216662
56102,5605,0.360645928855
57324,5727,0.360663658849
63088,6303,0.360670988712
73964,7391,0.361725488109
81095,8104,0.361742570286
81693,8164,0.361771715993
90849,9079,0.361869459916
95292,9524,0.361875386353
96022,9597,0.3619138288
100000,9995,0.3619138288
