evaluation,generation,hypervolume
0,0,0.236406037295
1,0,0.265575143266
5,0,0.275152862006
6,0,0.280344828307
10,0,0.280380735424
18,0,0.280541892237
26,0,0.291635338315
28,0,0.304703294548
106,5,0.307558739555
141,9,0.31008572977
142,9,0.310089569128
480,43,0.313875787457
727,67,0.314016098739
837,78,0.314043127271
840,79,0.31556905963
1145,109,0.316261064038
1228,117,0.3182543899
1234,118,0.322103135891
1283,123,0.322107150145
1414,136,0.323568837453
1496,144,0.325499069452
1540,149,0.327652433199
1896,184,0.327693583829
2203,215,0.32773578607
2732,268,0.330656756075
2934,288,0.330667794794
3596,354,0.333749041685
3992,394,0.333810465914
4572,452,0.33388659422
5002,495,0.335786867793
5831,578,0.342021735222
9705,965,0.346689103436
13098,1304,0.351072520573
21341,2129,0.351081496546
22408,2235,0.356035379366
35622,3557,0.356052257633
37786,3773,0.356194096399
44375,4432,0.356251321789
44465,4441,0.356310980762
46687,4663,0.357366208426
49426,4937,0.366809196526
57416,5736,0.366860961554
58845,5879,0.368975978442
78277,7822,0.368990046133
79065,7901,0.369111993609
100000,9995,0.369111993609
