evaluation,generation,hypervolume
0,0,0.246983234408
1,0,0.252677984106
2,0,0.270661539181
5,0,0.27950964739
6,0,0.289209871892
18,0,0.290190302493
19,0,0.291953072065
23,0,0.292115412639
29,0,0.292207118876
33,0,0.292246807855
37,0,0.293833695431
42,0,0.296404800954
66,1,0.301922693168
82,3,0.301934537903
86,3,0.302247155912
103,5,0.302292834687
109,5,0.311510268974
114,6,0.313656513661
127,7,0.313680153012
133,8,0.320880454626
150,10,0.321416049932
169,11,0.321491736927
198,14,0.324455692594
257,20,0.324711898546
295,24,0.327059603048
376,32,0.327119778248
457,40,0.327398383092
569,51,0.339403956447
632,58,0.339505359228
1266,121,0.340217991362
1894,184,0.341206170677
1982,193,0.341211866575
3372,332,0.345300664248
3711,366,0.345590230614
4527,447,0.345602337536
4597,454,0.345609337464
4767,471,0.347043213383
6670,662,0.347291245051
7523,747,0.34730325843
7815,776,0.347305631908
7937,788,0.351585485216
8246,819,0.35198816652
9255,920,0.351988601173
9444,939,0.352101754947
9685,963,0.353297574899
14806,1475,0.35713881204
14912,1486,0.357306650587
17814,1776,0.363004855324
18511,1846,0.365627515956
18712,1866,0.365736685403
19615,1956,0.365834712266
22870,2282,0.365902920537
23334,2328,0.365931406316
24001,2395,0.365949298201
24423,2437,0.365994792296
25361,2531,0.366118829756
27848,2779,0.366119961554
33212,3316,0.366241567235
34978,3492,0.367705568038
35992,3594,0.369264417237
36077,3602,0.369543485602
43739,4368,0.369548635265
45441,4539,0.370155599233
49578,4952,0.370315367
53079,5302,0.372007452504
64723,6467,0.372097876495
66758,6670,0.372210300712
81371,8132,0.372305986282
100000,9995,0.372305986282
