evaluation,generation,hypervolume
0,0,0.126023842415
1,0,0.137887830399
2,0,0.137995198661
3,0,0.143053011162
4,0,0.145010686275
5,0,0.145271374845
7,0,0.14549180957
8,0,0.146764472185
10,0,0.146769988801
11,0,0.150873060547
12,0,0.167490303064
15,0,0.167577368574
16,0,0.168163369397
17,0,0.168172284201
18,0,0.168286291006
19,0,0.168476995682
21,0,0.170545855917
22,0,0.170577987725
24,0,0.170591650207
25,0,0.170591946296
26,0,0.172271009622
28,0,0.172295438177
30,0,0.172714566194
32,0,0.17304483675
33,0,0.173048342789
34,0,0.173172941818
41,0,0.173357882344
43,0,0.173406779532
45,0,0.173513860544
46,0,0.173514577564
47,0,0.173527488184
49,0,0.17353037169
50,0,0.173546674929
51,0,0.173550897928
53,0,0.173550905879
54,0,0.173562789616
55,0,0.174903981549
57,0,0.175018039493
60,1,0.175044633043
61,1,0.175047493963
65,1,0.175370714594
66,1,0.17537214148
67,1,0.175407085258
68,1,0.175407547605
75,2,0.175427380375
78,2,0.175427484633
79,2,0.175581518504
87,3,0.175585346808
93,4,0.175604329319
94,4,0.175605262268
97,4,0.175605381884
99,4,0.175690206385
101,5,0.175690764839
102,5,0.175691141045
109,5,0.175691149029
111,6,0.175883979915
112,6,0.175886727257
118,6,0.175886949783
121,7,0.177101071855
122,7,0.177443904908
125,7,0.17746143919
128,7,0.177470644298
133,8,0.17768753294
134,8,0.177687625683
139,8,0.178848939834
144,9,0.17890632003
149,9,0.178925050312
153,10,0.179100730567
155,10,0.179127364137
164,11,0.179150150948
171,12,0.179537610208
183,13,0.179537931171
187,13,0.179538989119
201,15,0.179624286521
206,15,0.179633943106
211,16,0.184534768845
224,17,0.184534794141
227,17,0.184538765288
230,18,0.1845406861
232,18,0.184541845983
233,18,0.184559989357
243,19,0.184560110636
247,19,0.186370518414
256,20,0.186555486562
257,20,0.186710060459
272,22,0.186710894475
284,23,0.186856978242
286,23,0.186857189582
292,24,0.187232581797
302,25,0.187236371879
324,27,0.18723714595
326,27,0.187237150984
332,28,0.187242457479
335,28,0.187242463633
341,29,0.187302419477
345,29,0.187302596099
346,29,0.187788176046
355,30,0.187816400877
356,30,0.187816401185
361,31,0.187816562879
369,31,0.187816563292
378,32,0.187837907941
379,32,0.187839784366
394,34,0.187938391289
420,37,0.187939800322
425,37,0.188281318846
456,40,0.188287117626
484,43,0.188288512468
495,44,0.188288606931
496,44,0.18829571872
497,44,0.188295865947
498,44,0.188297063247
505,45,0.188297068983
511,46,0.188305013811
523,47,0.188306218017
528,47,0.188333174859
536,48,0.188333175514
539,48,0.188803864274
549,49,0.188837594469
556,50,0.188838427599
