evaluation,hypervolume
0,0.127790115964
1,0.129190079188
2,0.129769144571
3,0.129779138444
4,0.130531055298
5,0.13054444753
6,0.13104350416
7,0.131043536036
8,0.13104354173
9,0.131043545809
10,0.131051179219
11,0.13134699764
13,0.131619870307
14,0.132427308552
15,0.133485072356
16,0.133488591854
17,0.133505113108
20,0.133506628863
21,0.13351182672
22,0.134365110507
24,0.134366829687
25,0.134371296477
26,0.13437129651
28,0.135941718767
29,0.135942189223
30,0.135942191106
31,0.135949186405
33,0.135950652494
36,0.135950652511
39,0.13595065309
40,0.136910998465
41,0.136911113747
42,0.136917993618
44,0.136918112452
45,0.136918118752
46,0.136918121291
47,0.136918122885
48,0.136919677314
49,0.136921854719
52,0.137240562438
55,0.137240564134
59,0.13724173572
63,0.137242629365
65,0.137242631524
69,0.137242633553
71,0.137261385397
73,0.137261694614
79,0.137264801962
80,0.137267444987
81,0.137271382576
83,0.137281910068
88,0.137301102737
91,0.137301103272
102,0.13730110422
104,0.137301114576
107,0.138025219354
111,0.138026634298
118,0.138026637088
119,0.138026637452
121,0.138026646901
125,0.13802840865
127,0.138028412048
129,0.13940930104
131,0.139412562778
132,0.139429303387
133,0.139442501248
134,0.139445759887
135,0.139445791764
136,0.139445797458
137,0.139445801536
138,0.139453410481
139,0.139468855342
141,0.139476773939
142,0.14027307416
143,0.140281225867
144,0.140284718158
145,0.140284846973
148,0.140284861322
149,0.140284938506
150,0.14113323855
152,0.141138374482
153,0.141142776905
154,0.141142777067
156,0.141262675619
157,0.141262845484
158,0.141262848232
159,0.141269741304
161,0.141272328249
167,0.141272328828
168,0.141272497349
169,0.141272610959
170,0.141279391958
172,0.141279443018
173,0.141279449318
174,0.141279451857
175,0.141279568583
176,0.14128022007
177,0.14128236636
180,0.141282383927
183,0.141282385624
187,0.141283540519
191,0.141284421224
193,0.141284423383
197,0.141284425363
199,0.141313419908
201,0.141313563169
207,0.141315456775
208,0.141317941861
209,0.141321823219
211,0.141329728799
216,0.141348640347
219,0.141348640882
230,0.14134864183
232,0.141348642619
239,0.141348751995
246,0.141348754786
249,0.141350737071
253,0.141350956905
255,0.141350960303
259,0.141352406348
260,0.141985945768
261,0.141985968049
262,0.142474203997
263,0.142474235873
264,0.142474238207
265,0.142474242286
266,0.142474642908
267,0.142764481072
269,0.142765272658
271,0.142771825693
