evaluation,hypervolume
0,0.270550942982
1,0.271044857859
3,0.271872996066
4,0.272534730567
5,0.273327217942
6,0.275933860963
11,0.276214314752
13,0.278609635658
25,0.279785264589
42,0.279791060772
71,0.280489017264
75,0.280495593042
76,0.280495892189
80,0.280877932527
87,0.280910282334
96,0.280923746009
129,0.281413480482
131,0.282100080903
132,0.282729118638
133,0.283514981061
134,0.283518757926
139,0.283796914541
141,0.283835503022
153,0.285001244823
170,0.285007041005
203,0.285013739416
204,0.285014038563
215,0.28504638837
224,0.285625919327
259,0.285632328076
260,0.285635091343
261,0.285635500694
262,0.28804235043
267,0.28804837905
272,0.288558058563
279,0.288560817056
285,0.288561036449
288,0.288564318182
298,0.288565139144
306,0.288565265508
317,0.288565737705
325,0.289141995274
331,0.289148571052
332,0.289148941002
336,0.29081615109
343,0.29087355554
352,0.290887019215
387,0.29102811938
388,0.291058641491
390,0.293657741625
395,0.293660513257
400,0.294164679975
413,0.294166352541
416,0.294170217277
434,0.294170343641
445,0.294170815838
453,0.294741712212
459,0.294744461617
460,0.294744831567
471,0.295335354201
480,0.295346188402
515,0.295365944017
516,0.295376574562
517,0.295385471333
518,0.296962183764
523,0.296971581196
528,0.297484526161
537,0.297519506975
541,0.29752117954
544,0.297525044277
554,0.297530840459
562,0.297530966822
573,0.29753143902
581,0.298112022416
583,0.298136916342
587,0.29814349212
588,0.29814386207
599,0.298743695269
613,0.298747666574
641,0.298750768033
643,0.29880613693
644,0.299473865038
645,0.300308402134
646,0.300315102527
651,0.300610136876
665,0.301848521134
669,0.3018501937
672,0.301854058436
682,0.301859854619
690,0.301859980982
701,0.30186045318
709,0.30186831898
711,0.302603341133
715,0.302609916912
716,0.302610286862
748,0.302610367496
750,0.302612552925
753,0.302612727798
756,0.302619906174
761,0.302637083211
771,0.302777922005
772,0.302807399866
774,0.305489561271
779,0.305491465987
784,0.306011887949
793,0.306012695224
797,0.30601436779
800,0.306018232526
810,0.306019001669
818,0.306019128033
829,0.306019593073
837,0.306608427528
839,0.306616611555
843,0.30662056917
844,0.30662083036
876,0.306620910994
878,0.306623096423
884,0.306630449587
889,0.306647624838
899,0.306652815744
900,0.306658710181
901,0.306668146643
902,0.309242529414
907,0.309252222304
912,0.309776164862
921,0.310569737747
925,0.310571410313
928,0.310575275049
938,0.310581071231
946,0.310581197595
957,0.310581669792
965,0.311174389316
967,0.311928848176
971,0.311931656922
1004,0.311931737556
1006,0.311933922985
1017,0.311956014163
1027,0.311960146081
1028,0.312134714741
1029,0.312135867195
1030,0.314844461016
1035,0.314852537439
1040,0.315378132273
1049,0.315575771433
1053,0.315577443999
1056,0.315581308735
1066,0.315587104917
1074,0.315587231281
1085,0.315587703478
1095,0.316352144426
1099,0.316354953173
1105,0.316818474085
1132,0.316818783621
1134,0.31682517573
1145,0.316847266907
1146,0.316849623251
1155,0.316869259292
1156,0.317370972399
1157,0.318246609582
1158,0.320010540003
1163,0.320319825631
1168,0.32085185687
1177,0.322151579216
1181,0.322153251782
1184,0.322157116518
1194,0.3221629127
1202,0.322163039064
1213,0.322163511261
1223,0.322934762001
1227,0.322937570748
1233,0.323406820164
1260,0.323407129701
1262,0.323413521809
1274,0.323415878154
1276,0.323417339465
1283,0.32342424348
1284,0.323436618224
1285,0.3234457953
1286,0.325531726863
1291,0.325540659257
1296,0.326074986663
1305,0.326647531615
1309,0.326649204181
1312,0.326653068917
1322,0.3266588651
1330,0.326658991463
1341,0.326659463661
1351,0.327438322282
1355,0.327441131029
1361,0.32791242407
1388,0.327912733606
1395,0.327913460586
1402,0.32791581693
1404,0.327917561652
1411,0.327921740455
1412,0.327927989879
1413,0.327931651576
1414,0.3297412597
1419,0.32974983311
1424,0.330284999671
1433,0.330290843679
1440,0.330295357455
1450,0.330301153638
1458,0.330301280001
1461,0.330301345969
1469,0.330301818166
1479,0.330802176113
1483,0.330804984859
1489,0.331277024763
1516,0.331277418978
1523,0.331278601274
1530,0.331280957618
1532,0.331282702339
1539,0.331284856674
1540,0.331289959785
1541,0.331294308117
1542,0.332449324191
1547,0.332457259803
1552,0.33299375201
1561,0.332997456619
1568,0.333001970395
1578,0.333007766577
1586,0.333007892941
1589,0.333007958909
1597,0.333008431106
1607,0.333799506808
1611,0.333802315555
1617,0.334275535304
1644,0.33427592952
1658,0.334278285864
1660,0.33428017886
1668,0.334452435293
1670,0.337171857165
1675,0.337172592894
1680,0.337700306798
1696,0.337704820574
1714,0.337704946937
1717,0.337705012905
1725,0.337705485103
1739,0.337708293849
1772,0.337708688065
1786,0.338101833173
1788,0.338103726169
1795,0.338109173237
1796,0.338117734802
1797,0.3381191392
1798,0.33865044702
1803,0.338656596185
1808,0.339188076118
1817,0.339189177428
1824,0.339193691204
1834,0.339199330062
1842,0.339199456426
1845,0.339199522394
1853,0.339199994591
1863,0.339204589971
1867,0.339207398717
1900,0.339207792933
1914,0.339603752473
1923,0.33960997718
1924,0.339616452289
1925,0.340429022613
1926,0.340437621593
1932,0.340678178408
1945,0.342079892324
1952,0.3420844061
1962,0.34209053353
1970,0.342090659894
1973,0.342090725862
1976,0.342091046232
1981,0.34209152237
1986,0.342092662556
1991,0.342882610569
1994,0.342883777413
1995,0.342887872912
2028,0.342888267128
2044,0.342890160124
2051,0.342891649349
2052,0.342895211944
2053,0.342895325272
2054,0.345387541603
2059,0.345390511416
2080,0.345395025192
2090,0.34539590872
2098,0.345396035084
2101,0.345396101052
2109,0.345396573249
2119,0.345398299678
2123,0.345401108424
2156,0.34540150264
2170,0.346320339512
2179,0.346321255247
2180,0.346329127762
2181,0.346332288052
2182,0.346356417257
2187,0.34636333057
2201,0.346370678891
2208,0.346375192667
2218,0.346380532874
2229,0.346380598841
2237,0.34638114672
2247,0.346391912423
