evaluation,generation,hypervolume
0,0,0.235669120887
1,0,0.251113863771
3,0,0.286848170798
5,0,0.292891418327
6,0,0.298331192692
8,0,0.298444439293
9,0,0.303889824671
13,0,0.305936367154
30,0,0.30863507966
35,0,0.30867052875
41,0,0.30883781394
45,0,0.311318815028
51,0,0.311338726519
54,0,0.311574647551
55,0,0.311588073934
67,1,0.31438112035
84,3,0.3144113098
86,3,0.314422404524
95,4,0.315075770528
119,6,0.315230029123
139,8,0.316628155368
157,10,0.318197326313
173,12,0.318535880476
238,18,0.321975246704
361,31,0.322903287117
405,35,0.322915936037
488,43,0.327730354773
545,49,0.327741436672
605,55,0.327793210237
682,63,0.328232470752
762,71,0.33712016628
1036,98,0.338289852232
1194,114,0.338314702921
1215,116,0.338329741811
1837,178,0.338670635393
1942,189,0.342228572411
2440,239,0.342410550993
2515,246,0.342437376146
2535,248,0.342490375945
2659,260,0.342665286475
2860,281,0.342668323435
2888,283,0.342913859353
3538,348,0.343913319071
3609,355,0.344099972242
3854,380,0.34640178938
4110,406,0.346447463783
5408,535,0.346589550796
6021,597,0.347244837586
6167,611,0.347306749417
6301,625,0.347317033478
7167,711,0.347581853925
7601,755,0.34790775758
8891,884,0.34790955168
9359,930,0.347985683728
9395,934,0.353262741787
9489,943,0.353305223682
9728,967,0.353318285833
10225,1017,0.353359932858
10515,1046,0.353360856582
11227,1117,0.353443471744
13721,1367,0.354133039269
14195,1414,0.35420134444
14664,1461,0.354205030927
15141,1509,0.354237854317
15144,1509,0.354239703857
15374,1532,0.354241078995
16162,1611,0.354336133346
17368,1731,0.35451531356
17421,1737,0.354700638637
17431,1738,0.359027420236
17471,1742,0.35903893484
18398,1834,0.359054238401
21586,2153,0.359089527513
23465,2341,0.359171877384
24194,2414,0.363252161289
24650,2460,0.363279294609
26208,2615,0.363285306872
28077,2802,0.364146853994
29646,2959,0.364211624932
32602,3255,0.364268486672
32640,3259,0.364312505534
33994,3394,0.364329226726
34642,3459,0.364338793167
34894,3484,0.364347911522
36116,3606,0.364394982082
37036,3698,0.364431286598
37426,3737,0.364528783896
37640,3759,0.364528957121
39490,3944,0.364708808295
44492,4444,0.364790673098
49190,4914,0.364796911972
49255,4920,0.365521078687
49577,4952,0.365523931592
49830,4978,0.365554710324
55926,5587,0.366893763887
56200,5615,0.366902876031
57125,5707,0.366981956946
59161,5911,0.367086599414
62173,6212,0.370384603699
65773,6572,0.370385820882
66189,6613,0.370412922481
66983,6693,0.370502554102
69248,6919,0.370525406256
74740,7469,0.370785895971
77954,7790,0.370788031016
89647,8959,0.370791872224
94524,9447,0.370798168355
97023,9697,0.370802488127
100000,9995,0.370802488127
