evaluation,generation,hypervolume
0,0,0.2569690484
2,0,0.270253323634
3,0,0.288559384692
5,0,0.293043124419
13,0,0.306801242974
43,0,0.307626443351
80,3,0.309105049264
119,6,0.315871232262
152,10,0.333586147701
245,19,0.333635828082
263,21,0.335202487285
502,45,0.33521883946
721,67,0.339660783006
798,74,0.339819377991
813,76,0.343401375733
828,77,0.343643175885
896,84,0.343660450285
1114,106,0.343903609973
1150,110,0.343988877662
1245,119,0.343999687586
1580,153,0.349020531067
2771,272,0.356291673988
2777,272,0.361380290478
5671,562,0.361423382979
7262,721,0.361474899076
9622,957,0.361532298762
14048,1399,0.361773757429
24415,2436,0.361788642764
25730,2568,0.361790351947
26624,2657,0.362663800576
29849,2979,0.365137068725
35128,3507,0.365166330892
40950,4090,0.365214485698
51105,5105,0.371240217711
82727,8267,0.372564486731
100000,9995,0.372564486731
