evaluation,generation,hypervolume
0,0,0.244840947532
3,0,0.257800349999
4,0,0.269714494868
7,0,0.272034153399
8,0,0.277639515568
9,0,0.278275713433
10,0,0.280417321411
15,0,0.280420903481
18,0,0.298985632911
56,0,0.3039406907
83,3,0.315057614011
114,6,0.325329193638
189,13,0.325514618317
265,21,0.325680684627
583,53,0.328710685613
1233,118,0.330020354966
1389,133,0.330021599441
1543,149,0.330022070154
1547,149,0.330054247483
1614,156,0.33010164957
1713,166,0.330186275851
1759,170,0.330190719733
1834,178,0.330214471278
1925,187,0.331074933416
1927,187,0.331075948643
1998,194,0.33113743348
2022,197,0.34513887455
2878,282,0.346498406671
3038,298,0.34829367329
5104,505,0.350185455043
13424,1337,0.351908274217
13952,1390,0.354235889092
17437,1738,0.355841923746
24617,2456,0.356524468432
28590,2854,0.365453142373
31294,3124,0.365573798019
59446,5939,0.365977034807
66877,6682,0.366912160804
75268,7521,0.372171334247
82546,8249,0.372224208418
86547,8649,0.372237726215
90909,9085,0.372333728547
100000,9995,0.372333728547
