evaluation,hypervolume
0,0.263003672731
2,0.281816671427
3,0.289399044675
15,0.289975114603
17,0.294839392712
28,0.300597706585
30,0.305894022647
41,0.316515126197
44,0.324521524557
50,0.327067417058
56,0.345052382619
62,0.345695734109
70,0.34569586665
84,0.346437391161
92,0.349887051535
98,0.350899149643
109,0.351085045301
123,0.353479875924
138,0.362656247927
143,0.36792072247
145,0.368547855247
148,0.374073679418
179,0.381481202534
187,0.384030567648
200,0.387851768982
213,0.38785307044
217,0.388398663742
233,0.38841721385
247,0.388426929065
259,0.389244974124
261,0.397213122944
319,0.398122162408
320,0.40622571294
340,0.406379322688
341,0.406380846334
360,0.40642236246
375,0.408743167447
381,0.41243406436
395,0.412997445475
416,0.414906613406
421,0.4149727648
479,0.415216782264
490,0.415506249544
533,0.415507910066
536,0.419448819951
559,0.421562933651
581,0.423771336869
697,0.427765518842
716,0.429080096559
746,0.429944193307
757,0.429952233142
764,0.42997803251
765,0.430024331814
799,0.430101410841
849,0.430116008416
893,0.434668730999
919,0.434668916542
921,0.436915902203
926,0.436928456366
997,0.436929537479
1022,0.438167413748
1109,0.438175127818
1123,0.438175143238
1149,0.442214237826
1226,0.44226438052
1237,0.442318391265
1286,0.442405172559
1337,0.444760525342
1346,0.444764425395
1407,0.444776230168
1414,0.446912803063
1424,0.447480273016
1439,0.447492821821
1507,0.448062428074
1568,0.448147959485
1624,0.448193559731
1625,0.448209415117
1703,0.448507931773
1711,0.449991329068
1736,0.454410493906
1842,0.454412590128
1881,0.454802020113
1883,0.454802083825
1925,0.454811849272
1943,0.454839520643
1979,0.455209286645
1981,0.455226080288
2004,0.455245345059
2006,0.455245933
2044,0.455258912764
2165,0.462471911261
2167,0.47134482145
2226,0.473044610689
2247,0.474876939146
2358,0.475483467579
2429,0.477196528332
2472,0.477197113825
2501,0.477271413453
2527,0.478936763724
2553,0.480312711609
2584,0.483373700539
2667,0.483375887316
2692,0.48338732929
2810,0.487412521629
2851,0.487858693366
2955,0.488462130263
3073,0.489041956067
3153,0.490328287123
3285,0.490464584026
3287,0.490813720823
3305,0.490825884326
3438,0.49082661943
3494,0.490829669373
3607,0.49083005636
3685,0.491044393214
3700,0.491565016435
3726,0.494862329505
3760,0.494862435772
3779,0.494864961306
3891,0.494865511508
3897,0.494865673312
3924,0.494869321061
4024,0.500686968244
4148,0.500708498369
4162,0.500708943964
4188,0.500720098669
4379,0.500721039122
4611,0.501308550977
4633,0.501326054303
4740,0.502289558824
4788,0.50229143961
4851,0.502291485273
4945,0.502405616077
4964,0.502405642219
5012,0.502405683192
5046,0.502408430878
5059,0.502442967564
5134,0.502447477115
5175,0.502448526241
5256,0.503419912376
5284,0.503424726867
5340,0.503429590509
5421,0.503430047377
5447,0.503436042792
5580,0.50343612568
5664,0.503436709735
5673,0.503475725087
5763,0.503475727689
5879,0.503493023194
5941,0.503494617691
6071,0.505297149565
6294,0.507341881584
6351,0.507345611654
6419,0.50740038274
6444,0.50740228721
6661,0.507403138509
6862,0.508305449359
6889,0.508306306365
7034,0.508363474712
7082,0.508363864812
7365,0.508363885268
7375,0.508366198398
7442,0.50837333284
7604,0.508478328966
7667,0.508487801521
7922,0.50848967332
7932,0.50849055943
8146,0.510409924262
8264,0.510411510646
8274,0.510497400236
8300,0.510516643504
8312,0.515291322787
8490,0.515439322979
8634,0.515440217422
9024,0.515446654423
9142,0.515448546958
9152,0.515762249346
9283,0.515764026253
9378,0.51576418033
9480,0.515766607032
10127,0.515766656344
10321,0.515802234575
10419,0.515802388458
10818,0.515802546942
11040,0.515803009907
11811,0.515803036236
11973,0.51588799038
12457,0.515890104571
13791,0.515890890881
13980,0.515893987793
13982,0.515894072263
14166,0.516376264191
14271,0.516377593012
14359,0.516381873954
14512,0.51638302215
14628,0.516389855031
14631,0.516421799509
14729,0.517039468607
14899,0.517098055332
15467,0.517114314519
15574,0.517152999721
15596,0.518867076813
15671,0.518876168372
15722,0.518888088653
15797,0.518890612199
16116,0.518923874464
16829,0.518945633067
17071,0.519429843528
17082,0.519429917701
17231,0.520906510464
17721,0.520909374918
17805,0.520921651652
17822,0.520921681187
17968,0.522080170525
18262,0.522080793656
18291,0.522080843409
18442,0.522081481806
18688,0.525460331798
18852,0.525461833245
19540,0.525469641654
19655,0.525469731858
19690,0.525477291138
20187,0.527618874808
20326,0.527622499339
20864,0.527622834353
21123,0.52794967578
21464,0.52795120492
22053,0.527951557014
22101,0.527951686832
22127,0.527952307335
22926,0.527954008733
23391,0.527954440882
23413,0.528010280645
23432,0.528186596732
23909,0.528187495789
24282,0.528188562129
24437,0.52821644384
25111,0.528300704274
26411,0.529821029268
26706,0.529825149435
27421,0.529830276398
27679,0.529834954159
28014,0.52986663709
28160,0.529866839253
28667,0.529874554197
28942,0.529875024897
29496,0.529921942712
29925,0.529949490297
30285,0.531230165889
31053,0.531293335369
31061,0.531295386902
31245,0.531306567313
32230,0.532566251683
32519,0.532568308509
33617,0.533307698358
33732,0.536652303242
34506,0.53991628301
34860,0.539923751112
35114,0.539924136186
35133,0.539928209683
35143,0.539930110676
35180,0.539986158467
35572,0.540678077576
35588,0.54072111458
35670,0.54073869298
36347,0.540756073666
36382,0.540761089618
36687,0.542961229239
36814,0.542967054595
37311,0.54297446185
37564,0.542978861532
37691,0.542979491178
37822,0.542998862406
38047,0.54301531243
38342,0.543015362577
38403,0.543045464708
38851,0.543053312284
38874,0.543063273511
39429,0.543071790428
39460,0.543111460064
39496,0.543112314617
39503,0.543112455944
39580,0.543115960929
39686,0.543374419846
39791,0.543387259581
39879,0.543391523814
39945,0.543392583309
40201,0.543470288386
40203,0.545297126703
40262,0.545324698779
40331,0.545336659723
40332,0.545346101899
40488,0.545350939041
40505,0.54535597504
40613,0.545523219665
40748,0.545523407661
40909,0.546494553239
40942,0.546498712039
40956,0.546501048978
41143,0.549861281157
41171,0.55063055977
41220,0.550635200848
41707,0.550644802843
42291,0.550661371154
42759,0.550662358099
42793,0.550678351955
42852,0.55068145603
42925,0.550697286098
43062,0.550698009061
43311,0.550724031145
43366,0.553094428033
43480,0.553104487981
43800,0.553106402493
44162,0.553124632156
44171,0.555886361131
44190,0.555889690697
44658,0.555902954217
44738,0.55693974806
44956,0.556964414277
44990,0.556965152595
45470,0.556966186194
45629,0.556966744308
45793,0.556976408647
46314,0.556981998897
47695,0.5569895646
47910,0.558739947381
49633,0.558742921409
52567,0.558748875613
52651,0.558798199311
57040,0.558816913111
57179,0.558818602051
58391,0.558818952602
59321,0.558859059681
59331,0.55886064358
59470,0.55886089264
60457,0.55887977709
62516,0.558890281004
62874,0.558890787366
63418,0.560357481378
64513,0.560359046077
66068,0.560608130483
68123,0.56060815568
68917,0.560769941813
69633,0.560769944003
93527,0.562236385971
97087,0.562236740203
97189,0.562976117338
97774,0.568822396482
98559,0.568822646942
99104,0.569736186359
99106,0.569736621545
99139,0.569738852521
99156,0.569985239009
99188,0.57088089454
99245,0.570886417919
99571,0.570887338311
99728,0.571182752194
