evaluation,generation,hypervolume
0,0,0.288670371282
2,0,0.289840806024
30,0,0.289980457823
35,0,0.296880204673
94,4,0.298415648958
95,4,0.298548062317
106,5,0.298560615187
117,6,0.299145253498
119,6,0.299179024213
133,8,0.301760949534
224,17,0.30736553952
304,25,0.309924047825
321,27,0.31263165403
325,27,0.312640113272
330,28,0.313221282029
387,33,0.316121175727
425,37,0.316179609235
487,43,0.316179801008
551,50,0.316185692593
584,53,0.317965536799
624,57,0.317970121022
663,61,0.317981755556
723,67,0.318035357381
782,73,0.31821785822
794,74,0.318225193156
834,78,0.31846442539
882,83,0.320683514326
924,87,0.320685273244
975,92,0.320864113704
987,93,0.326567223048
1051,100,0.326576471557
1216,116,0.327541563839
1327,127,0.327591998963
1346,129,0.327744931202
1379,132,0.327920800061
1545,149,0.327995073089
1739,168,0.328013184659
1781,173,0.328050365804
1920,187,0.328079740179
2056,200,0.328195380965
2064,201,0.328224455598
2320,227,0.328270952299
2366,231,0.329329499021
2374,232,0.332879281592
3024,297,0.339013624617
3410,336,0.339491051954
3490,344,0.342459840676
4551,450,0.342476752457
4557,450,0.342530261858
5098,504,0.342623995974
5508,545,0.35259582141
5563,551,0.352624208468
5688,563,0.35268969732
5873,582,0.352690988374
6138,608,0.352778580926
6428,637,0.352793108325
6629,657,0.352793843964
7177,712,0.352796891122
7230,718,0.352918693284
8910,886,0.352923615085
11718,1166,0.352924037735
16873,1682,0.365328492095
17206,1715,0.365331979832
17948,1789,0.365371980095
22031,2198,0.36538250621
27104,2705,0.36899133873
36239,3618,0.3736069548
38252,3820,0.373616387292
45373,4532,0.373701800512
83421,8337,0.373710923073
84912,8486,0.373750575934
88046,8799,0.373799298264
88102,8805,0.373826567925
93428,9337,0.373879266179
100000,9995,0.373879266179
