evaluation,hypervolume
0,0.253808660484
1,0.258578955221
2,0.25929299005
4,0.264610149767
8,0.265975428664
9,0.265987938299
12,0.266000746485
15,0.266054851483
16,0.266056821965
17,0.266157373355
25,0.269589793147
27,0.269597119388
33,0.269611168196
36,0.269627095723
38,0.270258136261
51,0.278794010851
54,0.278802138964
58,0.278803999244
61,0.278824374127
63,0.278863946439
76,0.278867794981
86,0.279229217195
87,0.279235969943
100,0.279298884825
106,0.27929900466
107,0.279369486598
110,0.279380145224
111,0.279430148947
132,0.284660456507
137,0.284672966142
140,0.284679655418
141,0.284700351871
143,0.284700925995
153,0.288076428711
155,0.28807984618
161,0.288085330593
164,0.288116932367
179,0.288232061765
182,0.288237608741
189,0.288256573672
191,0.288296577758
220,0.288297992186
228,0.288408095025
234,0.288408542862
235,0.28841583763
238,0.288624513558
239,0.288634094821
257,0.289474069866
258,0.289474147819
260,0.289515697656
262,0.289529087723
264,0.289557041584
265,0.289563819456
268,0.289568583636
269,0.289598679882
271,0.28963623788
272,0.289642258509
273,0.291807068372
281,0.291970734697
289,0.291998546901
292,0.292050197457
295,0.292065922784
311,0.294303046429
337,0.294303214896
356,0.294414423804
361,0.294416082166
363,0.294419763037
366,0.294421874375
367,0.294470997359
382,0.294636667353
385,0.299063079125
392,0.299102535699
393,0.299112187945
397,0.299153544236
399,0.299194535481
400,0.29920055611
409,0.299583308596
417,0.301610917781
439,0.304084998665
447,0.304121992677
465,0.304122652268
481,0.30413005737
486,0.304131880644
488,0.304138448447
489,0.304138837998
491,0.304176394728
494,0.304189551443
495,0.307238732444
507,0.307242701459
520,0.307242787075
521,0.307246950074
528,0.307277802234
537,0.307394802235
567,0.307395328028
575,0.307415684412
578,0.311932251372
609,0.311941077571
614,0.311957814276
616,0.311968246151
617,0.31198137409
619,0.312337601395
622,0.312347786581
623,0.312358338885
649,0.312365379953
665,0.315564113801
676,0.316032629017
679,0.31937573384
695,0.319400921548
701,0.319866268616
703,0.319897349074
706,0.319909873727
737,0.319916039653
745,0.319928255525
750,0.319928395079
764,0.319951318504
776,0.319968516337
777,0.31997024666
781,0.320023764006
784,0.320029218042
788,0.320043572758
793,0.321235389018
807,0.325096928928
831,0.328165100322
833,0.328184198881
834,0.329001814905
836,0.329003216727
858,0.329008808766
880,0.329017675519
892,0.329082564934
898,0.329103263395
903,0.329923015842
904,0.329947850436
905,0.329961983458
909,0.330053968489
910,0.33005696274
921,0.33006901582
925,0.330069694207
927,0.33320202059
932,0.333278551664
935,0.3387082304
961,0.338727322113
962,0.338758454599
964,0.338768653148
977,0.338850430606
994,0.338870913926
1003,0.338871376138
1020,0.338936948777
1033,0.33893799087
1040,0.33894582875
1049,0.338946804788
1056,0.338962670919
1063,0.341314925451
1070,0.341322503112
1079,0.341326459055
1090,0.343073313559
1105,0.343094978139
1137,0.343108891561
