evaluation,generation,hypervolume
0,0,0.243231938603
1,0,0.254706549167
2,0,0.254982807506
3,0,0.258136148875
4,0,0.287920881042
5,0,0.288208786903
6,0,0.288701312965
9,0,0.289628624951
11,0,0.303527706571
12,0,0.303837717378
16,0,0.304585169369
19,0,0.304706370441
20,0,0.304736382297
22,0,0.304795047572
26,0,0.305073073015
37,0,0.305121945192
39,0,0.305152830477
54,0,0.305255481234
70,2,0.307129825969
78,2,0.307158867581
81,3,0.311330831369
83,3,0.31135851271
86,3,0.312545894875
93,4,0.313292871288
97,4,0.313435673351
106,5,0.313436015989
132,8,0.313505144664
147,9,0.313828863021
189,13,0.314101964111
223,17,0.314140722037
232,18,0.314175975212
243,19,0.314743498198
329,27,0.32613950842
334,28,0.33016103321
380,33,0.330181512153
403,35,0.330213681713
466,41,0.330277580078
532,48,0.330323748332
549,49,0.330361279284
569,51,0.330541951908
580,53,0.330554092615
595,54,0.330581789964
600,55,0.336403579735
652,60,0.336577497304
670,62,0.336584320308
741,69,0.336589178975
890,84,0.337079651337
1036,98,0.338116883279
1040,99,0.338360773591
1254,120,0.338464556957
1312,126,0.338471630979
1422,137,0.338847551668
2187,213,0.338896636422
2543,249,0.338901934733
2561,251,0.338920493777
2675,262,0.344334140043
2767,271,0.344380456221
3068,301,0.344402772052
3215,316,0.344756509596
3327,327,0.344758695966
3355,330,0.346817250496
3376,332,0.346837648662
3556,350,0.35148958659
4570,452,0.351511558416
5267,521,0.35153755384
5305,525,0.351564038307
6147,609,0.351581684871
6530,648,0.351652093291
6674,662,0.351691356622
8621,857,0.35169248566
8879,882,0.351730742846
9330,928,0.351732465179
9843,979,0.351754297271
11059,1100,0.351783327079
11167,1111,0.351784344354
11703,1165,0.352302157967
12672,1262,0.352386054879
12948,1289,0.352398788112
14202,1415,0.35240306306
15679,1562,0.352465542299
16026,1597,0.352475181089
16894,1684,0.354411875747
17125,1707,0.354526219174
17168,1711,0.3546350833
17290,1724,0.354673453302
17648,1759,0.354709865881
18653,1860,0.354842163196
19177,1912,0.354947096903
19420,1937,0.354995861951
20338,2028,0.354998868632
22297,2224,0.355256011792
22991,2294,0.355332579371
24744,2469,0.355338309603
25146,2509,0.355383875408
25466,2541,0.355387450123
31994,3194,0.355636782791
36164,3611,0.355637104614
46323,4627,0.359563693692
47993,4794,0.359608669062
52734,5268,0.359624626995
53954,5390,0.36296261583
67729,6767,0.362995631098
77358,7730,0.363132828993
81247,8119,0.363207564373
81563,8151,0.363925665998
91510,9146,0.363992485098
95104,9505,0.364009653997
96416,9636,0.364074128035
100000,9995,0.364074128035
