evaluation,generation,hypervolume
0,0,0.0329727201618
1,0,0.0368563966813
2,0,0.038853651598
4,0,0.0393196856392
5,0,0.0422718107103
6,0,0.0427343619882
8,0,0.0427344878452
9,0,0.0428430297449
10,0,0.0434831150014
15,0,0.0436024839064
16,0,0.0443049711409
19,0,0.0443394375117
20,0,0.0443533899995
21,0,0.0449730147978
22,0,0.0449730247793
25,0,0.0455128609552
28,0,0.0455283905906
29,0,0.0461764915985
30,0,0.0475324042253
36,0,0.0475761824272
40,0,0.0480914674302
42,0,0.0481181042447
44,0,0.0481183081324
47,0,0.0481224380039
48,0,0.0483740192654
53,0,0.0483743760837
55,0,0.0511244830141
56,0,0.0511264837981
57,0,0.051127536227
58,0,0.052488447858
59,0,0.0524885301998
61,1,0.0525329099914
62,1,0.0525394746511
70,2,0.052603285152
74,2,0.0527104838368
75,2,0.052737957226
80,3,0.0532530791455
82,3,0.0532530792018
89,3,0.0532578693791
90,4,0.0537626391995
94,4,0.0537779548261
102,5,0.0537877367632
103,5,0.05378833606
111,6,0.0537891776872
114,6,0.0537892592789
115,6,0.0537908774259
116,6,0.0538226555263
118,6,0.0538227336696
119,6,0.0538231653987
122,7,0.0540152924931
124,7,0.0540186146295
127,7,0.0540186784351
128,7,0.054018678442
131,8,0.0541171449762
134,8,0.0541893369405
138,8,0.0541918221803
149,9,0.0542134720305
154,10,0.0542443648647
157,10,0.0542444007472
162,11,0.0545468344559
168,11,0.0545483931973
169,11,0.0545488030336
174,12,0.0545490452213
179,12,0.0545494765541
181,13,0.054581376355
206,15,0.0545813822914
209,15,0.0545818076429
211,16,0.05458186364
215,16,0.0546056343129
230,18,0.0546348031157
235,18,0.0546418417135
239,18,0.0546418811653
242,19,0.0546993928794
256,20,0.0547496121449
269,21,0.0547722055572
278,22,0.054777672997
293,24,0.05479057048
294,24,0.0547955101898
299,24,0.0547955396804
301,25,0.0548205328992
302,25,0.0548205346576
304,25,0.0548205492893
306,25,0.0548755171966
312,26,0.0548785536203
316,26,0.0548786419394
321,27,0.0549426040787
326,27,0.0549514119195
334,28,0.0553839998732
362,31,0.0553860410638
369,31,0.0553870586319
382,33,0.0553870632185
385,33,0.0553887514579
386,33,0.0568944059476
418,36,0.0569418894985
420,37,0.0569426639225
435,38,0.0576798107874
460,41,0.0576798605824
465,41,0.0576798718574
467,41,0.0576798725834
482,43,0.0576799061743
484,43,0.0576801750876
489,43,0.057680205482
491,44,0.0577033273533
525,47,0.0577089051176
532,48,0.0578018675379
533,48,0.0591230705701
551,50,0.0595170149403
561,51,0.0607221072877
595,54,0.0613881538552
600,55,0.0614119809484
603,55,0.0614141251141
611,56,0.061813970834
640,59,0.0618139825663
649,59,0.0618140006762
662,61,0.0618148345712
673,62,0.0620225845937
675,62,0.0620546422364
686,63,0.0620546658084
703,65,0.0620578177318
711,66,0.0620595477214
718,66,0.062746562073
735,68,0.0628211152557
755,70,0.0628211694846
777,72,0.0628289132278
783,73,0.062828976127
784,73,0.0628289946569
790,74,0.0628540737371
794,74,0.0628543646503
807,75,0.0628642627928
823,77,0.0632246711208
862,81,0.063237597944
885,83,0.0632390144323
966,91,0.0634709142713
1028,97,0.0634927243934
1056,100,0.0634927254676
1073,102,0.0635007690891
1077,102,0.0635025996376
1102,105,0.0635981416115
1167,111,0.0635981465694
1185,113,0.0636017512899
1197,114,0.0636017572695
1200,115,0.0636019134191
1225,117,0.0636024530196
1293,124,0.0636031695467
1384,133,0.0636034803548
1426,137,0.0636047865598
1473,142,0.0640110881507
1476,142,0.0645997831648
1482,143,0.0646003975246
1513,146,0.0646003976763
1524,147,0.0651057272235
1585,153,0.0651308752363
1604,155,0.0651328320862
1613,156,0.0651328889398
1667,161,0.0651328946734
1848,179,0.0651330625602
1850,180,0.0651331825384
1889,183,0.0651413140257
1917,186,0.0651413226057
1930,188,0.0656448187368
1951,190,0.0660034195852
1961,191,0.0660040917905
2002,195,0.0675811369825
2028,197,0.0675829019319
2044,199,0.067595452423
2117,206,0.0676005125347
2164,211,0.067602864816
2186,213,0.0676029027879
2206,215,0.0676029053214
2210,216,0.067604530104
2222,217,0.0676057928824
2229,217,0.0676058268458
2237,218,0.0678834026713
2302,225,0.0678834970595
2383,233,0.0678838400913
2398,234,0.06788385853
2429,237,0.0678866962187
2444,239,0.0679416229392
2474,242,0.067943150435
2489,243,0.0681047708411
2517,246,0.0681047779747
2569,251,0.0681049693958
2578,252,0.0681049709871
2608,255,0.0681052659801
2629,257,0.0681213044912
2641,259,0.0681382953764
2648,259,0.0681382964221
2649,259,0.0681393954129
2680,263,0.0681393955298
2690,264,0.0681395824884
2713,266,0.0681395862108
2716,266,0.0681396549284
2750,270,0.0696147398487
2752,270,0.069621653208
2762,271,0.0696317560052
2763,271,0.0696317584544
2821,277,0.0696317589917
2863,281,0.0696393128629
2897,284,0.0696393129446
2977,292,0.0696396787304
2996,294,0.0696396894875
3016,296,0.0696496335966
3064,301,0.0696942230657
3108,305,0.0697007903755
3116,306,0.0697008204478
3131,308,0.0697011328272
3134,308,0.0697065440668
3152,310,0.0697066326994
3163,311,0.0697066327244
3209,315,0.0697066333341
3241,319,0.0697234747358
3427,337,0.0697234747383
3446,339,0.0697234861113
3464,341,0.0697248822225
3525,347,0.069725093976
3561,351,0.0697256122528
3563,351,0.0697410772828
3574,352,0.0697410868561
3645,359,0.069741706525
3678,362,0.0697417186491
3709,365,0.069741831091
3762,371,0.0697418336889
3883,383,0.0697418386792
3932,388,0.0697433186148
4058,400,0.0697916050363
4074,402,0.06979704122
4075,402,0.0697970429939
4152,410,0.0698217134555
4235,418,0.0699277258459
4348,429,0.0699277282815
4426,437,0.0699278795939
4436,438,0.0699278795941
4437,438,0.0699325862269
4453,440,0.0699438018726
4459,440,0.0699438431566
4482,443,0.0699438532519
4567,451,0.0699440613857
4590,454,0.0699440628527
4626,457,0.0699440628532
4688,463,0.0710158335965
4858,480,0.0710159388803
4861,481,0.0710213209714
4903,485,0.0710213209716
5004,495,0.0710213805358
5052,500,0.071028803954
5082,503,0.0710288089375
5142,509,0.0710288314756
5354,530,0.0710292157838
5361,531,0.071029625912
5380,533,0.0710297878835
5413,536,0.0710299382017
5418,536,0.0710302036892
5428,537,0.0710302037205
5435,538,0.0710302037205
5550,550,0.0710316306745
5584,553,0.0710316640922
5635,558,0.0710879940543
5655,560,0.0710899781184
5688,563,0.0710901903969
5722,567,0.0710929425627
5742,569,0.0710929428974
5769,571,0.0711147486318
5821,577,0.07111515723
6141,609,0.0711254521659
6201,615,0.0711259734426
6322,627,0.0711261371565
6587,653,0.0711327264607
6650,660,0.0711655418143
6656,660,0.0711656811372
6679,662,0.0711660765969
6680,663,0.0711662405456
6713,666,0.0711662405489
6830,678,0.0711665764101
6903,685,0.0711665764724
6919,686,0.0711879288687
7152,710,0.0711879531676
7169,711,0.071187953215
7249,719,0.0712194132909
7346,729,0.0712202212647
7415,736,0.0712202306467
7580,753,0.0712254982084
7584,753,0.0712256019983
7585,753,0.0712256022099
7622,757,0.0712691349752
7682,763,0.0712691377885
7822,777,0.0712691408475
7865,781,0.0713041733749
7890,784,0.0713041733822
7954,790,0.0713041745402
8049,799,0.0713041869218
8156,810,0.0713042419779
8210,816,0.0713042761637
8223,817,0.0713076988801
8243,819,0.0713077009245
8256,820,0.0713083028922
8266,821,0.0713091776927
8316,826,0.0713091777217
8478,842,0.0713091780323
8525,847,0.0713217790145
8656,860,0.0713942517805
8673,862,0.0714817777826
8877,882,0.0714818464327
8887,883,0.0714818791551
8896,884,0.0714904106767
8985,893,0.0714918263451
9025,897,0.0714988867317
9061,901,0.0716448200403
9114,906,0.0716631433277
9208,915,0.0716638446377
9266,921,0.0716642296087
9365,931,0.0716642375582
9406,935,0.0716642488359
9805,975,0.0716851108281
9825,977,0.0716870284077
9885,983,0.07168703017
10007,995,0.0716871469044
10090,1004,0.0716882794551
10122,1007,0.0716882794936
10206,1015,0.0716887445962
10234,1018,0.0717176875149
10474,1042,0.0717186268954
10524,1047,0.0717362116367
10648,1059,0.0726381921748
10657,1060,0.0726555599084
10711,1066,0.0726555599084
10821,1077,0.0726567422059
11019,1096,0.0727311052595
11075,1102,0.0727311058576
11108,1105,0.0727311061773
11208,1115,0.0727311062208
11211,1116,0.0727311062773
11532,1148,0.0727311062776
11549,1149,0.0727311063131
11572,1152,0.0727369370048
11635,1158,0.0727369521014
11641,1159,0.0727369673988
11832,1178,0.0727369674696
12063,1201,0.0727370154196
12139,1208,0.0737415644246
12267,1221,0.0737643888466
12415,1236,0.0737644627293
12424,1237,0.0737684368837
12486,1243,0.0737958333411
12563,1251,0.0738114815719
12625,1257,0.0738114888551
12815,1276,0.0738114922449
12935,1288,0.0738121207303
12951,1290,0.0738197305382
12969,1291,0.0738197405421
13004,1295,0.0738197405492
13044,1299,0.0738387983904
13108,1305,0.0738387993229
13228,1317,0.0738391263226
13255,1320,0.0738391267904
13380,1333,0.0738393378854
13580,1353,0.07383933809
13833,1378,0.0738393661712
13855,1380,0.0738393661794
14136,1408,0.0738479793532
14268,1421,0.0738803688253
14281,1423,0.073889774467
14311,1426,0.0738919472491
14348,1429,0.0738919472663
14480,1443,0.0738919472663
14498,1444,0.0738929947486
14811,1476,0.0738940215687
14819,1476,0.073894072673
14911,1486,0.0738940944101
15091,1504,0.0739000707468
15154,1510,0.0739000707527
15210,1516,0.0739000718083
15274,1522,0.0739093257163
15478,1542,0.0739489016002
15486,1543,0.0739489016664
15513,1546,0.0739489120059
15638,1558,0.0739490167899
15642,1559,0.0739490168211
15656,1560,0.0739490193313
15657,1560,0.0739493231764
15675,1562,0.0739493234143
15870,1582,0.0739493336182
15907,1585,0.0739493342535
16051,1600,0.0739508327266
16104,1605,0.0739508659488
16123,1607,0.0739508661784
16131,1608,0.0739508672404
16336,1628,0.0739596766577
16349,1629,0.0739598659148
16444,1639,0.0739598664587
16736,1668,0.073972886919
16793,1674,0.0739779413117
16828,1677,0.0740677953154
16842,1679,0.0740678647365
16853,1680,0.0740682832803
16954,1690,0.074068294758
17014,1696,0.0740683210112
17147,1709,0.0740683215663
17803,1775,0.0740732113364
17950,1790,0.0740732115453
17952,1790,0.0740732125846
18133,1808,0.0740732144153
18198,1814,0.0741118849771
18206,1815,0.0741118849874
18226,1817,0.0741317055137
18254,1820,0.0741317058938
18686,1863,0.0741317058942
18767,1871,0.0741321691766
19196,1914,0.074132169178
19467,1941,0.0741321692398
19629,1957,0.0741321692814
19634,1958,0.074132170074
19753,1970,0.0741321768843
