evaluation,generation,hypervolume
0,0,0.0311031274857
1,0,0.0372750346971
2,0,0.0374376125797
4,0,0.0411506380269
5,0,0.0411578399461
6,0,0.0412543533192
7,0,0.0415635060573
8,0,0.0416215284311
10,0,0.0417797251531
11,0,0.04178952666
12,0,0.0418995064334
13,0,0.0458896622917
16,0,0.0461563196286
17,0,0.0461806668737
18,0,0.0461871546169
19,0,0.0478394033011
21,0,0.0483422049993
23,0,0.0483487752852
25,0,0.0483651883252
30,0,0.0483809407247
32,0,0.0487628647415
33,0,0.0487699273353
40,0,0.0487700321835
43,0,0.0487913485964
45,0,0.0491848466949
51,0,0.0498013558601
52,0,0.0498402570724
54,0,0.0501089866175
55,0,0.0501696994552
57,0,0.051323973363
58,0,0.0513541168654
64,1,0.0523894457975
68,1,0.0524289288942
75,2,0.0525234137143
81,3,0.0528174591702
86,3,0.0528183540078
89,3,0.0528226048592
107,5,0.0528227943065
110,6,0.0528228303573
111,6,0.0528574194601
115,6,0.0530705209374
117,6,0.0530705982333
118,6,0.0531560727601
119,6,0.0531562422166
122,7,0.0532655581415
129,7,0.0533884269087
137,8,0.0535697168622
150,10,0.0535711093096
157,10,0.0535879826549
160,11,0.0535879831355
161,11,0.0535891880121
170,12,0.0536048999975
171,12,0.0536058586922
178,12,0.0536067609409
179,12,0.0536893451185
184,13,0.0537197879826
186,13,0.0537268176677
195,14,0.0544956624004
201,15,0.0545099413168
204,15,0.0545189008828
205,15,0.0545189010595
207,15,0.0545194787205
211,16,0.0549806186707
217,16,0.0549806186767
223,17,0.0549806549371
235,18,0.0549806550247
243,19,0.0549857957106
256,20,0.0549861136108
259,20,0.0549861156363
262,21,0.0550850466117
272,22,0.0551040395999
274,22,0.055104044216
275,22,0.0551100694737
276,22,0.0551101823461
288,23,0.0551102091143
289,23,0.0551506126342
293,24,0.0551927250691
300,25,0.055199793444
302,25,0.0551997977378
306,25,0.0554711976476
307,25,0.0555170956649
320,27,0.0555581525925
323,27,0.0555648153964
333,28,0.055565006747
338,28,0.0558960480663
