evaluation,generation,hypervolume
0,0,0.249386166011
1,0,0.25860546173
2,0,0.281529943585
4,0,0.295143048351
5,0,0.295198515316
7,0,0.299935367343
9,0,0.300042757178
10,0,0.300123091759
16,0,0.300173923124
26,0,0.300224930052
28,0,0.300292122752
38,0,0.30070551984
39,0,0.300890982343
41,0,0.307688553886
43,0,0.308082386333
47,0,0.308207162568
50,0,0.308726194022
61,1,0.311811919892
65,1,0.312096500216
87,3,0.319281023677
112,6,0.319281778479
115,6,0.319283000733
136,8,0.323456267356
145,9,0.323458915586
160,11,0.323488441533
171,12,0.323527504465
174,12,0.323533021417
181,13,0.323543342035
185,13,0.324265378659
199,14,0.32426558469
201,15,0.324266723716
215,16,0.324272067357
258,20,0.324312996342
315,26,0.324315536526
333,28,0.324320748796
357,30,0.324335925761
362,31,0.32433635828
390,34,0.324345882548
419,36,0.324357523501
435,38,0.324457349415
445,39,0.324469007515
447,39,0.324469443175
469,41,0.324503367503
471,42,0.324634449969
541,49,0.324706139571
559,50,0.324711925465
563,51,0.32477751203
569,51,0.324782351709
575,52,0.3248099668
596,54,0.324831868068
632,58,0.324903736231
734,68,0.324916770301
740,69,0.325688331202
782,73,0.325716670884
811,76,0.325763032187
839,78,0.325767735242
865,81,0.325815766694
1064,101,0.325828148182
1215,116,0.325837790857
1413,136,0.32588562986
1470,142,0.325891593517
1524,147,0.325896386991
1539,148,0.326273877537
1540,149,0.32629158243
1631,158,0.326293635009
1645,159,0.326382800254
1694,164,0.32639123193
1703,165,0.326442891991
1771,172,0.326455566155
1904,185,0.326467325871
2023,197,0.326467801822
2036,198,0.326472255346
2210,216,0.332720820709
2294,224,0.332744073989
2320,227,0.341196875951
2377,232,0.341197709002
2434,238,0.341199283694
2740,269,0.34129778175
2946,289,0.341354744112
2993,294,0.341359068425
3008,295,0.341385115625
3050,300,0.341461707669
3365,331,0.341483010943
3437,338,0.341496995836
3596,354,0.34166659232
3614,356,0.341673915071
4023,397,0.341871341058
4129,407,0.341911191647
4261,421,0.341933703929
4268,421,0.342020146292
4287,423,0.342028594017
4426,437,0.342028709511
4437,438,0.342071971763
4446,439,0.342072522268
4576,452,0.342128716224
4620,457,0.342141752587
4678,462,0.342217786957
4817,476,0.342383054421
4927,487,0.342400709971
5014,496,0.342405370185
5034,498,0.342414672336
5247,519,0.342415242947
5383,533,0.342496168312
5429,537,0.342583313117
6034,598,0.34262946223
6220,617,0.342640654546
6621,657,0.342674136291
7239,718,0.342701684142
7560,751,0.342713171354
7652,760,0.342731254639
7883,783,0.342765785358
7983,793,0.342767243285
8589,853,0.342769941656
8763,871,0.345280059703
9071,902,0.345289828187
9610,956,0.345495668715
9702,965,0.34550346325
9741,969,0.345526110663
9744,969,0.345531226697
9801,975,0.345533765106
9812,976,0.34555324455
10094,1004,0.351055471362
10131,1008,0.351065509702
11002,1095,0.351065898566
12073,1202,0.351074708667
12437,1238,0.351197063792
13212,1316,0.351202422917
13236,1318,0.351207572522
13718,1366,0.351215284932
14545,1449,0.351239224466
14778,1472,0.351252540023
14958,1490,0.351263001873
14973,1492,0.351331314084
15400,1535,0.351331934201
16792,1674,0.351349202905
17425,1737,0.351365307993
17712,1766,0.351436428553
18332,1828,0.351492952749
18333,1828,0.351494537788
20872,2082,0.351501220761
20916,2086,0.351501223028
21630,2158,0.351501743
21759,2170,0.351511819393
22592,2254,0.351516640135
22926,2287,0.351585363758
22934,2288,0.351594707958
23893,2384,0.351596828458
24115,2406,0.351597498433
24785,2473,0.351618828775
25984,2593,0.351631777374
26180,2613,0.351635580494
26463,2641,0.351636039755
26470,2642,0.351636357192
27489,2743,0.351639690843
27609,2755,0.351643799534
28860,2881,0.351654259513
29941,2989,0.351654781454
30444,3039,0.351657721444
31072,3102,0.351670859731
33148,3309,0.351672837751
33764,3371,0.351682177116
33870,3382,0.351682565918
34069,3401,0.351686239875
34592,3454,0.351702157237
35320,3527,0.35171323649
36241,3619,0.351733799882
36862,3681,0.351736384757
37164,3711,0.351785333892
37689,3763,0.35183317517
38355,3830,0.35183577571
39276,3922,0.351836277142
41905,4185,0.351839126499
42928,4287,0.351852608481
43295,4324,0.351859843923
43450,4340,0.351884963574
44052,4400,0.352180814694
47357,4730,0.352233174182
47841,4779,0.352256704657
48148,4809,0.35225753976
48579,4852,0.35226616362
50055,5000,0.352327123484
51108,5105,0.352331987711
51519,5146,0.352367687534
52253,5220,0.35256077132
52518,5246,0.352588603003
54152,5410,0.352666072583
54334,5428,0.352671583368
55615,5556,0.352674851357
61191,6114,0.352697826056
63754,6370,0.352698312198
65283,6523,0.352699095794
66305,6625,0.352827422014
67915,6786,0.352828615935
70182,7013,0.3528346314
70376,7032,0.35390328226
73842,7379,0.353903978853
75217,7516,0.353958625527
75468,7541,0.353972027515
75629,7557,0.35398060386
76375,7632,0.354035004142
76407,7635,0.354038477666
77178,7712,0.354073005703
78573,7852,0.354073167998
78748,7869,0.354073179047
84648,8459,0.354078972513
86363,8631,0.354085534516
89403,8935,0.354357013607
91304,9125,0.354455710094
92297,9224,0.35453464463
92445,9239,0.354629934934
92960,9291,0.354636457577
96583,9653,0.354661745628
100000,9995,0.354661745628
