evaluation,generation,hypervolume
0,0,0.253354965783
1,0,0.285613407747
2,0,0.285850822989
3,0,0.286103492211
9,0,0.286131720973
10,0,0.286156737176
11,0,0.287019041189
14,0,0.287019219636
20,0,0.291340595859
24,0,0.291685552838
28,0,0.291689340727
40,0,0.291727709341
44,0,0.295196634009
48,0,0.296617838411
55,0,0.296729744163
56,0,0.296804439183
60,1,0.307633416828
88,3,0.307639173928
102,5,0.308146469783
112,6,0.308160923188
138,8,0.317424147004
164,11,0.317426731478
181,13,0.317521448083
186,13,0.31753052358
208,15,0.317540775003
216,16,0.317620796291
230,18,0.317684728691
251,20,0.318339758594
274,22,0.318353771772
291,24,0.318367961813
303,25,0.318509044209
336,28,0.318565488122
353,30,0.319272267862
421,37,0.319283171428
499,44,0.319295562679
523,47,0.319374355473
544,49,0.319398428459
564,51,0.319412539124
581,53,0.319424806943
684,63,0.31944332257
686,63,0.31962938662
704,65,0.319660046682
786,73,0.328073717199
793,74,0.328189373683
805,75,0.328237579115
808,75,0.328261798848
809,75,0.328275758918
833,78,0.328276768879
858,80,0.328364622265
886,83,0.328369134668
1045,99,0.328372875871
1133,108,0.328373604533
1158,110,0.328427276712
1182,113,0.328442237872
1315,126,0.328466141071
1373,132,0.328572687879
1392,134,0.334868415921
1689,163,0.334937225739
1787,173,0.334940022335
1857,180,0.335002997095
1890,184,0.335008929608
2070,202,0.335015538306
2072,202,0.33532941612
2090,204,0.335556377398
2234,218,0.335559408919
2466,241,0.335560542572
2637,258,0.335564381057
2817,276,0.335564588667
2920,287,0.335572508449
2977,292,0.335620686067
2998,294,0.335678749631
3483,343,0.33569255036
3524,347,0.335765675106
3579,352,0.335796232783
3606,355,0.335812783123
3624,357,0.335822451199
3814,376,0.33582671317
3828,377,0.335828413875
3917,386,0.335902667586
3922,387,0.335916497883
4199,414,0.33592238338
4396,434,0.335923354427
4446,439,0.335938757703
4736,468,0.335988372733
4838,478,0.336010763353
4959,490,0.336128591834
5098,504,0.336132029463
5535,548,0.336252225071
5555,550,0.337558310246
5761,571,0.337563668337
6164,611,0.337583586842
6455,640,0.337632831625
6536,648,0.337633832189
6772,672,0.337635746344
7096,704,0.337636576216
7409,735,0.337637004065
7432,738,0.340626366564
7464,741,0.340629327316
7680,763,0.340670856869
7880,783,0.340671161015
8174,812,0.340671186933
8286,823,0.340707560322
8440,839,0.34073855347
8846,879,0.341227060086
8857,880,0.341257338546
8986,893,0.34126133664
9028,897,0.341262717347
9098,904,0.344545351773
9711,966,0.344621351342
9810,976,0.34462166275
10226,1017,0.344644936597
10601,1055,0.344647122297
10916,1086,0.344721258579
11369,1131,0.346323754134
11649,1159,0.34633581497
12005,1195,0.346391277332
12008,1195,0.346391524071
12294,1224,0.346396076087
12574,1252,0.346475325518
12741,1269,0.346483842693
13536,1348,0.346485098938
13591,1354,0.346485125451
13726,1367,0.346501282628
13816,1376,0.346520327236
13854,1380,0.346539306828
15217,1516,0.346560939449
15925,1587,0.347979218315
16099,1604,0.34799533337
16341,1629,0.348026122428
16648,1659,0.3480299911
17507,1745,0.348061165678
18999,1894,0.348064092811
19643,1959,0.348135774412
19733,1968,0.348136107272
19966,1991,0.348136306643
21884,2183,0.348350286806
22311,2226,0.348369961346
23074,2302,0.348388191619
23125,2307,0.348392623691
24032,2398,0.348481503243
24171,2412,0.348623098948
24696,2464,0.349852782894
25332,2528,0.349992114207
26179,2612,0.349994666941
26739,2668,0.349996775147
27200,2715,0.349999013789
27750,2770,0.350063166619
28132,2808,0.35007986137
29227,2917,0.352767308886
30769,3071,0.352920885643
30862,3081,0.352923128407
31017,3096,0.352923275434
31367,3131,0.352943797896
34486,3443,0.352944315016
34583,3453,0.352989344907
34880,3483,0.352991150075
35286,3523,0.353021651736
36139,3608,0.353158181295
38998,3894,0.353176823333
39187,3913,0.353203875846
40189,4013,0.353205175201
41155,4110,0.353775294544
43807,4375,0.353778831279
46312,4626,0.353789472248
47093,4704,0.353835054721
48282,4823,0.353851540967
52750,5270,0.35385981301
54859,5480,0.353882517918
55602,5555,0.353882588905
59333,5928,0.35388705743
60559,6050,0.353910837074
60881,6083,0.353946150119
61571,6152,0.353975333841
62384,6233,0.354038516224
63232,6318,0.354056618538
63983,6393,0.354059261619
65377,6532,0.354140183539
69454,6940,0.354140197331
69550,6950,0.354141067482
69709,6965,0.354211808438
69871,6982,0.354218325739
70052,7000,0.354218345781
72334,7228,0.354250183971
72586,7253,0.354259364414
73142,7309,0.354271809043
77430,7738,0.354388415383
80333,8028,0.35445343864
80584,8053,0.357319671814
83068,8301,0.357339157732
83556,8350,0.357451907904
84432,8438,0.357463339198
87157,8710,0.357476497819
94507,9445,0.361710492782
95341,9529,0.361713369624
99158,9910,0.361714193851
99172,9912,0.361826723232
99816,9976,0.361837474073
100000,9995,0.361837474073
